,OptimalSolution,ReducedCosts,MinValue,MaxValue,Span,MinStatus,MaxStstus
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time43,0.0,0.0,0.0,0.04119284261473291,0.0411928426,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dleu_time44,0.014272517087081167,0.0,0.0,0.04119284261473295,0.0411928426,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time00,0.0,0.0,0.0,0.0005015075245898365,0.0005015075,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time01,0.00038239977382202855,0.0,0.0,0.0010026753998371957,0.0010026754,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time02,0.0,0.0,0.0,0.0015038194155624369,0.0015038194,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time03,0.00036557376926804673,0.0,0.0,0.0020049634312876824,0.0020049634,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time04,0.0,0.0,0.0,0.0025061074470129193,0.0025061074,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time05,0.0008110031736861886,0.0,0.0,0.0030072514627381597,0.0030072515,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time06,0.0,0.0,0.0,0.0035083954784634014,0.0035083955,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time07,0.0,0.0,0.0,0.004009539494188637,0.0040095395,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time08,0.0005469003083025579,0.0,0.0,0.004510683509913882,0.0045106835,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time09,0.0,0.0,0.0,0.005011827525639127,0.0050118275,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time10,0.0,0.0,0.0,0.005512971541364365,0.0055129715,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time11,0.0007112427070736554,0.0,0.0,0.0060282132410601486,0.0060282132,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time12,0.0,0.0,0.0,0.006587892197485606,0.0065878922,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time13,0.0015754446824730408,0.0,0.0,0.007200100247705996,0.0072001002,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time14,0.0,0.0,0.0,0.007869201672425778,0.0078692017,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time15,0.0,0.0,0.0,0.008600477654686483,0.0086004777,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time16,0.0,0.0,0.0,0.00939979667443828,0.0093997967,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time17,0.0019674867995753114,0.0,0.0,0.01027322099058249,0.010273221,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time18,0.0,0.0,0.0,0.011227903200509644,0.0112279032,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time19,0.0010071426529741617,0.0,0.0,0.012271303264631463,0.0122713033,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time20,0.00022914547267486883,0.0,0.0,0.013411665662180092,0.0134116657,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time21,0.0007865349119190006,0.0,0.0,0.014658001025247835,0.014658001,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time22,0.0003846223551248509,0.0,0.0,0.016020157336761688,0.0160201573,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time23,0.0,0.0,0.0,0.017512109912595743,0.0175121099,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time24,0.002100249820482191,0.0,0.0,0.019135985608284636,0.0191359856,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time25,0.0023476587646405413,0.0,0.0,0.02091427755355422,0.0209142776,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time26,0.0023813661101469343,0.0,0.0,0.022857824520873104,0.0228578245,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time27,0.0001446049296156437,0.0,0.0,0.024981983882529493,0.0249819839,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time28,0.0,0.0,0.0,0.02730353965153623,0.0273035397,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time29,0.0033808648211463076,0.0,0.0,0.029840835753436427,0.0298408358,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time30,0.0017300289327766788,0.0,0.0,0.03261392135574491,0.0326139214,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time31,0.0019761787073510283,0.0,0.0,0.03564470632298879,0.0356447063,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time32,0.0,0.0,0.0,0.03895717601750035,0.038957176,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time33,0.00356847866156481,0.0,0.0,0.04180715736599999,0.0418071574,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time34,0.0037361856719656363,0.0,0.0,0.041807157366000006,0.0418071574,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time35,0.0,0.0,0.0,0.041807157366000006,0.0418071574,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time36,0.0,0.0,0.0,0.041807157385267094,0.0418071574,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time37,5.5340779376829644e-05,0.0,0.0,0.041807157366,0.0418071574,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time38,0.001841906419586585,0.0,0.0,0.041807157366000006,0.0418071574,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time39,0.0,0.0,0.0,0.04180715736600002,0.0418071574,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time40,0.007445439723387109,0.0,0.0,0.04180715736599991,0.0418071574,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time41,0.0,0.0,0.0,0.041807157385267094,0.0418071574,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time42,0.0023313574363330865,0.0,0.0,0.041807157385267094,0.0418071574,1.0,1.0
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time43,0.0,0.0,0.0,0.041807157366000026,0.0418071574,1.0,1.0
